F5	9606.ENSP00000354631
9606.ENSP00000292644
9606.ENSP00000322788
9606.ENSP00000349317
9606.ENSP00000344925
9606.ENSP00000252444
9606.ENSP00000340330
9606.ENSP00000257724
9606.ENSP00000040877
-1.CID016217242
MAL9606.ENSP00000347847
9606.ENSP00000279992
9606.ENSP00000272462
9606.ENSP00000310880
9606.ENSP00000358799
9606.ENSP00000278193
9606.ENSP00000261203
9606.ENSP00000221459
9606.ENSP00000283635
-1.CID000000096
GPI9606.ENSP00000331751
9606.ENSP00000356702
9606.ENSP00000300658
9606.ENSP00000250693
9606.ENSP00000350263
9606.ENSP00000296333
9606.ENSP00000346809
9606.ENSP00000369820
9606.ENSP00000362498
9606.ENSP00000230036
9606.ENSP00000279036
9606.ENSP00000338251
9606.ENSP00000352876
9606.ENSP00000372494
9606.ENSP00000359848
9606.ENSP00000333293
9606.ENSP00000217446
9606.ENSP00000205948
9606.ENSP00000361667
9606.ENSP00000339382
9606.ENSP00000271552
9606.ENSP00000026218
9606.ENSP00000281382
9606.ENSP00000225609
9606.ENSP00000340329
9606.ENSP00000226432
9606.ENSP00000278243
9606.ENSP00000347206
9606.ENSP00000290866
9606.ENSP00000216452
9606.ENSP00000164305
9606.ENSP00000348877
9606.ENSP00000311876
9606.ENSP00000238138
9606.ENSP00000244333
9606.ENSP00000332313
9606.ENSP00000309430
9606.ENSP00000363262
-1.CID000003504
ND19606.ENSP00000354687
9606.ENSP00000356468
-1.CID000023330
TTL9606.ENSP00000233336
-1.CID006420129
VIP9606.ENSP00000356213
9606.ENSP00000360662
9606.ENSP00000291440
9606.ENSP00000327246
9606.ENSP00000262178
-1.CID016133234
SCT9606.ENSP00000295956
9606.ENSP00000019103
9606.ENSP00000176195
-1.CID000447628
MPG9606.ENSP00000219431
-1.CID000073394
SLC25A219606.ENSP00000329452
SERPINF29606.ENSP00000371493
C6orf1089606.ENSP00000230431
MARCKSL19606.ENSP00000362638
PNLIPRP19606.ENSP00000351695
PLA2G12A9606.ENSP00000243501
SERPINB29606.ENSP00000299502
MPHOSPH69606.ENSP00000258169
SERPINA19606.ENSP00000348068
SERPINE19606.ENSP00000360034
9606.ENSP00000308944
9606.ENSP00000266503
9606.ENSP00000223095
PPP1R14B9606.ENSP00000310117
KIAA01019606.ENSP00000300035
HIST1H3C9606.ENSP00000244661
9606.ENSP00000353783
9606.ENSP00000352252
SERPINC19606.ENSP00000356671
SERPIND19606.ENSP00000215727
SLC25A109606.ENSP00000328403
PNLIPRP29606.ENSP00000298771
SIGLEC129606.ENSP00000291707
HLA-DRB19606.ENSP00000372734
9606.ENSP00000363930
9606.ENSP00000302517
9606.ENSP00000372607
9606.ENSP00000331343
9606.ENSP00000364114
9606.ENSP00000353099
9606.ENSP00000372602
9606.ENSP00000339469
9606.ENSP00000372606
NDUFAB19606.ENSP00000290429
9606.ENSP00000007516
CEACAM59606.ENSP00000221992
MAPKAP19606.ENSP00000362597
C1orf489606.ENSP00000355944
CYP2C199606.ENSP00000360372
TBL1XR19606.ENSP00000263964
PCDHB169606.ENSP00000354293
GABARAP9606.ENSP00000322159
9606.ENSP00000311318
9606.ENSP00000361328
9606.ENSP00000336547
9606.ENSP00000306866
9606.ENSP00000283290
9606.ENSP00000346437
TNFSF119606.ENSP00000297581
9606.ENSP00000239849
SCGB1A19606.ENSP00000367064
9606.ENSP00000278282
CYSLTR29606.ENSP00000282018
SLC26A49606.ENSP00000265715
GPR172A9606.ENSP00000333638
SLC16A19606.ENSP00000333769
9606.ENSP00000358640
SMARCA29606.ENSP00000265773
S100A139606.ENSP00000357688
BCL2L119606.ENSP00000361458
9606.ENSP00000350311
C19orf29606.ENSP00000312530
EIF2AK29606.ENSP00000365991
9606.ENSP00000346837
9606.ENSP00000318176
9606.ENSP00000368453
TXNDC109606.ENSP00000299608
MAP3K149606.ENSP00000342059
9606.ENSP00000359424
9606.ENSP00000363779
PLA2G1B9606.ENSP00000312286
LDHAL6B9606.ENSP00000302393
PLA2G4A9606.ENSP00000371886
9606.ENSP00000356436
PLA2G2A9606.ENSP00000364252
SULT2A19606.ENSP00000222002
AKR1B109606.ENSP00000352584
PLA2G2E9606.ENSP00000364257
LDHAL6A9606.ENSP00000280706
DYNC1H19606.ENSP00000351750
PLA2G2F9606.ENSP00000364243
GPR172B9606.ENSP00000352629
MRGPRX39606.ENSP00000314065
MRGPRX49606.ENSP00000314042
MRGPRX19606.ENSP00000305766
ZNFN1A19606.ENSP00000331614
CYP27A19606.ENSP00000258415
PLA2G4C9606.ENSP00000346228
PLA2G2D9606.ENSP00000364246
ST8SIA29606.ENSP00000268164
PLA2G109606.ENSP00000261659
RASGRP39606.ENSP00000337281
TNFSF109606.ENSP00000298894
9606.ENSP00000352323
9606.ENSP00000372198
PRKAR1A9606.ENSP00000351410
MAP3K109606.ENSP00000284637
9606.ENSP00000253055
ALDH3A29606.ENSP00000345774
S100A129606.ENSP00000357726
CYP2C189606.ENSP00000285979
PPP1R1B9606.ENSP00000254079
B4GALT19606.ENSP00000369055
PIK3C2A9606.ENSP00000265970
SLC11A19606.ENSP00000233202
KIR2DL29606.ENSP00000342999
9606.ENSP00000325525
TSPAN319606.ENSP00000257910
SEC14L29606.ENSP00000316203
CEACAM39606.ENSP00000349971
9606.ENSP00000187608
ALDH5A19606.ENSP00000314649
RPS6KB29606.ENSP00000308413
ADAMTS29606.ENSP00000362304
9606.ENSP00000251582
CEACAM79606.ENSP00000006724
NDRG19606.ENSP00000319977
HMOX19606.ENSP00000216117
9606.ENSP00000235372
LGR69606.ENSP00000356247
PSMD49606.ENSP00000357876
CHAT9606.ENSP00000317817
9606.ENSP00000337103
-1.CID000062258
SOAT19606.ENSP00000356591
IGHE9606.ENSP00000374982
9606.ENSP00000263620
NFKB19606.ENSP00000292588
9606.ENSP00000361458
9606.ENSP00000359206
9606.ENSP00000314556
9606.ENSP00000321203
9606.ENSP00000252015
9606.ENSP00000226574
9606.ENSP00000263437
9606.ENSP00000371231
9606.ENSP00000366841
9606.ENSP00000265094
9606.ENSP00000308236
MUC19606.ENSP00000309968
9606.ENSP00000315835
9606.ENSP00000275493
9606.ENSP00000331602
9606.ENSP00000357372
9606.ENSP00000324806
PTGS29606.ENSP00000356253
9606.ENSP00000356438
NOS2A9606.ENSP00000327251
DGKI9606.ENSP00000288490
SOD19606.ENSP00000342667
9606.ENSP00000307870
9606.ENSP00000270142
9606.ENSP00000334960
9606.ENSP00000265522
PRSS29606.ENSP00000312576
PRSS39606.ENSP00000354280
9606.ENSP00000290968
PRSS19606.ENSP00000308720
9606.ENSP00000290968
9606.ENSP00000312576
MAOA9606.ENSP00000348523
9606.ENSP00000340684
-1.CID000006292
MAOB9606.ENSP00000367309
ESR29606.ENSP00000360138
9606.ENSP00000343925
9606.ENSP00000290231
MAPK19606.ENSP00000339958
9606.ENSP00000339605
9606.ENSP00000279992
9606.ENSP00000309116
9606.ENSP00000256261
9606.ENSP00000215832
9606.ENSP00000262445
CASP39606.ENSP00000356984
9606.ENSP00000311032
9606.ENSP00000293288
9606.ENSP00000262710
ESR19606.ENSP00000327213
9606.ENSP00000357341
9606.ENSP00000301067
9606.ENSP00000352137
9606.ENSP00000328773
9606.ENSP00000293771
9606.ENSP00000356196
9606.ENSP00000355712
9606.ENSP00000360138
9606.ENSP00000206249
9606.ENSP00000287394
9606.ENSP00000358953
9606.ENSP00000343925
9606.ENSP00000311550
9606.ENSP00000290231
HEPH9606.ENSP00000343939
IL1B9606.ENSP00000327763
9606.ENSP00000344166
9606.ENSP00000269280
9606.ENSP00000329568
9606.ENSP00000263437
9606.ENSP00000263341
9606.ENSP00000242261
9606.ENSP00000364858
AADAC9606.ENSP00000232892
CCL59606.ENSP00000349967
9606.ENSP00000225840
9606.ENSP00000369213
9606.ENSP00000350852
9606.ENSP00000293272
AMD19606.ENSP00000357880
PTPRF9606.ENSP00000299492
9606.ENSP00000339299
9606.ENSP00000327416
9606.ENSP00000335614
9606.ENSP00000314724
9606.ENSP00000253925
9606.ENSP00000356209
9606.ENSP00000361491
GGPS19606.ENSP00000282841
FDPS9606.ENSP00000357340
PPA19606.ENSP00000362329
GLUD19606.ENSP00000277865
PPA29606.ENSP00000349996
PRDX69606.ENSP00000342026
9606.ENSP00000265462
9606.ENSP00000246104
CEBPZ9606.ENSP00000368423
9606.ENSP00000340671
UGDH9606.ENSP00000371259
H6PD9606.ENSP00000054661
GLUL9606.ENSP00000356537
PRTN39606.ENSP00000234347
CALCR9606.ENSP00000353385
PRF19606.ENSP00000290163
9606.ENSP00000362305
9606.ENSP00000311280
PREP9606.ENSP00000358106
9606.ENSP00000298282
9606.ENSP00000291547
-1.CID000027982
CD1C9606.ENSP00000357151
CD1B9606.ENSP00000357150
CD1A9606.ENSP00000357153
9606.ENSP00000357151
9606.ENSP00000357149
9606.ENSP00000357150
9606.ENSP00000289429
ACHE9606.ENSP00000350037
9606.ENSP00000373298
9606.ENSP00000363609
9606.ENSP00000337103
9606.ENSP00000320948
TP73L9606.ENSP00000264731
LDHC9606.ENSP00000280704
ZAP709606.ENSP00000264972
9606.ENSP00000262866
9606.ENSP00000337548
ARG29606.ENSP00000261783
APLP29606.ENSP00000263574
CD8A9606.ENSP00000319960
9606.ENSP00000283635
IDH29606.ENSP00000331897
IDH19606.ENSP00000260985
IGF19606.ENSP00000275732
9606.ENSP00000302665
9606.ENSP00000266671
9606.ENSP00000261883
9606.ENSP00000268035
9606.ENSP00000362667
9606.ENSP00000352232
MAT1A9606.ENSP00000361287
ACAT19606.ENSP00000265838
9606.ENSP00000356591
PRLR9606.ENSP00000317835
POMC9606.ENSP00000356795
9606.ENSP00000370171
9606.ENSP00000308024
IFNG9606.ENSP00000370976
9606.ENSP00000354415
9606.ENSP00000262878
9606.ENSP00000345341
9606.ENSP00000262354
9606.ENSP00000229135
SCN5A9606.ENSP00000226105
9606.ENSP00000328968
PRNP9606.ENSP00000368752
OTOR9606.ENSP00000246081
MSX29606.ENSP00000239243
9606.ENSP00000364912
FBN19606.ENSP00000373738
MCF29606.ENSP00000311656
9606.ENSP00000359610
9606.ENSP00000364758
G6PD9606.ENSP00000291567
PPYR19606.ENSP00000363431
DGKD9606.ENSP00000264057
ELK39606.ENSP00000328813
9606.ENSP00000228741
NGFB9606.ENSP00000256637
9606.ENSP00000358525
NQO19606.ENSP00000282111
9606.ENSP00000319788
CRYGC9606.ENSP00000282141
PNMA29606.ENSP00000305039
DNAI19606.ENSP00000242317
PPGB9606.ENSP00000361562
MGAM9606.ENSP00000316431
ADH1B9606.ENSP00000306606
STIP19606.ENSP00000351646
9606.ENSP00000219548
9606.ENSP00000350967
C1QL19606.ENSP00000253407
MEG39606.ENSP00000327348
BCL29606.ENSP00000329623
9606.ENSP00000328088
9606.ENSP00000360498
9606.ENSP00000353878
9606.ENSP00000353294
9606.ENSP00000260442
9606.ENSP00000246933
9606.ENSP00000224112
9606.ENSP00000338814
9606.ENSP00000353560
9606.ENSP00000313171
9606.ENSP00000350311
9606.ENSP00000359727
9606.ENSP00000357625
9606.ENSP00000293288
9606.ENSP00000367050
9606.ENSP00000357927
9606.ENSP00000309103
9606.ENSP00000327048
9606.ENSP00000287322
9606.ENSP00000222308
9606.ENSP00000356058
-1.CID000139621
IL109606.ENSP00000361458
9606.ENSP00000290200
9606.ENSP00000227752
9606.ENSP00000262354
9606.ENSP00000356066
PTGS19606.ENSP00000354612
LDHB9606.ENSP00000229319
MYO69606.ENSP00000358994
MCL19606.ENSP00000262854
9606.ENSP00000358022
9606.ENSP00000269518
NR2E39606.ENSP00000317199
PLEK9606.ENSP00000234313
RIPK19606.ENSP00000248244
9606.ENSP00000321203
9606.ENSP00000369773
MAP49606.ENSP00000335347
9606.ENSP00000353375
-1.CID001795542
IGHM9606.ENSP00000375000
9606.ENSP00000375004
9606.ENSP00000374990
9606.ENSP00000375005
GSTP19606.ENSP00000196968
VCAM19606.ENSP00000264741
9606.ENSP00000233573
9606.ENSP00000267082
9606.ENSP00000294728
9606.ENSP00000268297
PEO19606.ENSP00000309595
EDNRA9606.ENSP00000315011
CALD19606.ENSP00000354826
CD839606.ENSP00000368450
RUNX29606.ENSP00000287239
9606.ENSP00000352514
9606.ENSP00000324064
9606.ENSP00000265713
DPEP19606.ENSP00000261615
IGF29606.ENSP00000370783
9606.ENSP00000359854
9606.ENSP00000215640
9606.ENSP00000371410
9606.ENSP00000290341
9606.ENSP00000371634
9606.ENSP00000254231
9606.ENSP00000268035
CASP99606.ENSP00000330237
9606.ENSP00000263268
PARP19606.ENSP00000355759
NR5A19606.ENSP00000224073
9606.ENSP00000293771
9606.ENSP00000362690
GDF159606.ENSP00000252809
COPS29606.ENSP00000299259
RBL29606.ENSP00000305899
9606.ENSP00000255613
9606.ENSP00000262133
9606.ENSP00000368686
TIMP19606.ENSP00000353612
9606.ENSP00000218388
TDGF39606.ENSP00000296145
ATN19606.ENSP00000349076
EMP19606.ENSP00000256951
MSLN9606.ENSP00000372313
TNP19606.ENSP00000236979
RRM19606.ENSP00000251810
9606.ENSP00000300738
POLG9606.ENSP00000309595
9606.ENSP00000317618
9606.ENSP00000268124
CCT49606.ENSP00000233836
PNLIP9606.ENSP00000358223
SYN19606.ENSP00000295987
MMP19606.ENSP00000325431
9606.ENSP00000321650
9606.ENSP00000243440
9606.ENSP00000322788
9606.ENSP00000353612
9606.ENSP00000357175
9606.ENSP00000334170
CRYZ9606.ENSP00000339399
MAPK89606.ENSP00000370842
9606.ENSP00000301200
9606.ENSP00000309597
9606.ENSP00000266482
9606.ENSP00000300574
9606.ENSP00000279387
9606.ENSP00000262445
9606.ENSP00000363291
9606.ENSP00000233954
9606.ENSP00000284637
9606.ENSP00000368887
HMGB19606.ENSP00000255320
9606.ENSP00000345347
-1.CID003496889
NR3C19606.ENSP00000327213
9606.ENSP00000253024
9606.ENSP00000328773
9606.ENSP00000293771
9606.ENSP00000356814
9606.ENSP00000292077
9606.ENSP00000360138
9606.ENSP00000356836
9606.ENSP00000231509
9606.ENSP00000320866
9606.ENSP00000318635
MAPK39606.ENSP00000339605
9606.ENSP00000279992
9606.ENSP00000256261
9606.ENSP00000309597
9606.ENSP00000262445
9606.ENSP00000263025
9606.ENSP00000339958
9606.ENSP00000357089
9606.ENSP00000368124
ERBB29606.ENSP00000347423
9606.ENSP00000368691
9606.ENSP00000289422
9606.ENSP00000303071
9606.ENSP00000269571
9606.ENSP00000230768
9606.ENSP00000331732
9606.ENSP00000310771
9606.ENSP00000317322
9606.ENSP00000354823
FASN9606.ENSP00000363777
9606.ENSP00000278618
LDLR9606.ENSP00000363458
9606.ENSP00000252444
9606.ENSP00000260197
PDIA69606.ENSP00000371011
HCFC19606.ENSP00000260058
9606.ENSP00000248089
9606.ENSP00000224024
9606.ENSP00000309555
IFT809606.ENSP00000353301
PDIA59606.ENSP00000323313
ACTG19606.ENSP00000331514
KRT59606.ENSP00000293774
9606.ENSP00000252242
PRSS79606.ENSP00000284885
FRAP19606.ENSP00000307305
9606.ENSP00000307272
9606.ENSP00000354587
9606.ENSP00000301724
9606.ENSP00000354830
9606.ENSP00000301068
NSMAF9606.ENSP00000038176
MMP39606.ENSP00000321650
9606.ENSP00000352463
9606.ENSP00000299855
9606.ENSP00000353612
SPDEF9606.ENSP00000363149
TIMP39606.ENSP00000266085
TERT9606.ENSP00000355261
9606.ENSP00000349640
9606.ENSP00000257829
9606.ENSP00000263073
9606.ENSP00000309572
9606.ENSP00000374265
9606.ENSP00000368856
9606.ENSP00000270176
CD339606.ENSP00000353071
9606.ENSP00000222107
9606.ENSP00000374126
9606.ENSP00000262262
CPSF49606.ENSP00000292476
PAG19606.ENSP00000220597
TP539606.ENSP00000372415
9606.ENSP00000263551
9606.ENSP00000371479
9606.ENSP00000356641
9606.ENSP00000323822
9606.ENSP00000306682
9606.ENSP00000314946
9606.ENSP00000372023
9606.ENSP00000353560
9606.ENSP00000323246
9606.ENSP00000301281
9606.ENSP00000342105
9606.ENSP00000179259
9606.ENSP00000269305
9606.ENSP00000276072
9606.ENSP00000361811
9606.ENSP00000304997
9606.ENSP00000200453
9606.ENSP00000286122
9606.ENSP00000291823
9606.ENSP00000202556
9606.ENSP00000346412
9606.ENSP00000251810
9606.ENSP00000301727
9606.ENSP00000265603
9606.ENSP00000357051
9606.ENSP00000346490
9606.ENSP00000361186
9606.ENSP00000301905
9606.ENSP00000371310
9606.ENSP00000265348
MATN19606.ENSP00000362870
IFNB19606.ENSP00000302523
LGMN9606.ENSP00000334052
CD689606.ENSP00000369867
HOOK19606.ENSP00000360252
PROC9606.ENSP00000234071
CSTB9606.ENSP00000291568
ICAM19606.ENSP00000266643
9606.ENSP00000235332
9606.ENSP00000264832
9606.ENSP00000349252
9606.ENSP00000356085
9606.ENSP00000347279
9606.ENSP00000287497
CALR9606.ENSP00000320866
GTF3A9606.ENSP00000370532
GAD19606.ENSP00000350928
ALOX59606.ENSP00000363512
PLAUR9606.ENSP00000339328
CDH19606.ENSP00000221926
9606.ENSP00000268794
9606.ENSP00000339153
9606.ENSP00000222597
FBN29606.ENSP00000262464
DHFR9606.ENSP00000343033
MYO1F9606.ENSP00000304899
ETV59606.ENSP00000374208
SIL19606.ENSP00000265195
CALM39606.ENSP00000291295
9606.ENSP00000272298
9606.ENSP00000349467
MYO5C9606.ENSP00000261839
TYMS9606.ENSP00000315644
MYO9B9606.ENSP00000314032
ABCB69606.ENSP00000363166
MYO1E9606.ENSP00000288235
LPHN29606.ENSP00000359760
FBP19606.ENSP00000364475
MYO5B9606.ENSP00000285039
COCH9606.ENSP00000216361
9606.ENSP00000304286
CROT9606.ENSP00000331981
UMOD9606.ENSP00000306279
GNAS9606.ENSP00000302237
9606.ENSP00000325941
TLR19606.ENSP00000354932
MDH29606.ENSP00000327070
SORD9606.ENSP00000267814
CALCA9606.ENSP00000331746
PVALB9606.ENSP00000352835
9606.ENSP00000216200
CHIT19606.ENSP00000356198
RGMA9606.ENSP00000330005
BIRC49606.ENSP00000254867
9606.ENSP00000360242
TNNI39606.ENSP00000359928
9606.ENSP00000341838
LDHA9606.ENSP00000227157
PHEX9606.ENSP00000368682
IFT889606.ENSP00000351802
IFT529606.ENSP00000362130
GAPDH9606.ENSP00000222286
9606.ENSP00000229239
IFT819606.ENSP00000242591
PTGDS9606.ENSP00000360684
IFT749606.ENSP00000369402
LYST9606.ENSP00000371308
9606.ENSP00000369614
9606.ENSP00000288937
9606.ENSP00000272000
ODC19606.ENSP00000329452
9606.ENSP00000234111
TLR69606.ENSP00000371376
ETFA9606.ENSP00000267950
TPPP9606.ENSP00000353785
SGCB9606.ENSP00000295211
ARSF9606.ENSP00000352319
FSCN39606.ENSP00000373406
PTPN19606.ENSP00000360683
TPSG19606.ENSP00000234798
PLAU9606.ENSP00000361848
GLS29606.ENSP00000310447
NOS39606.ENSP00000318921
9606.ENSP00000343497
9606.ENSP00000341992
9606.ENSP00000297494
CTSD9606.ENSP00000299373
9606.ENSP00000236671
COTL19606.ENSP00000262428
CMA19606.ENSP00000250378
TBCA9606.ENSP00000369736
LIAS9606.ENSP00000261434
CSRP19606.ENSP00000356275
CCL29606.ENSP00000349967
9606.ENSP00000225840
9606.ENSP00000225831
9606.ENSP00000362174
9606.ENSP00000245544
9606.ENSP00000249887
-1.CID006432145
SNTB19606.ENSP00000341890
A1BG9606.ENSP00000263100
GYPA9606.ENSP00000354003
9606.ENSP00000283128
9606.ENSP00000351430
ABCC19606.ENSP00000263013
RPS4X9606.ENSP00000362744
ABCB19606.ENSP00000265724
CD699606.ENSP00000228434
MCPH19606.ENSP00000342924
P4HB9606.ENSP00000327801
CCL49606.ENSP00000250151
9606.ENSP00000367593
-1.CID000005943
CXCL99606.ENSP00000362795
9606.ENSP00000354901
FAAH9606.ENSP00000219368
9606.ENSP00000243167
IL4I19606.ENSP00000342557
MMP139606.ENSP00000339672
KLK159606.ENSP00000314783
TBX49606.ENSP00000240335
PRND9606.ENSP00000306900
LGI19606.ENSP00000360472
9606.ENSP00000312273
9606.ENSP00000302297
9606.ENSP00000282970
MAS19606.ENSP00000252660
9606.ENSP00000373041
9606.ENSP00000366331
9606.ENSP00000373139
MGST39606.ENSP00000356860
GPX49606.ENSP00000346103
9606.ENSP00000353329
DMC19606.ENSP00000240488
9606.ENSP00000306761
9606.ENSP00000216024
9606.ENSP00000253789
HSPA49606.ENSP00000302961
REM19606.ENSP00000201979
MMRN19606.ENSP00000264790
CD869606.ENSP00000303939
9606.ENSP00000274056
9606.ENSP00000363511
9606.ENSP00000332049
9606.ENSP00000215555
MLL29606.ENSP00000301067
9606.ENSP00000222270
CD409606.ENSP00000327344
9606.ENSP00000263437
9606.ENSP00000332468
9606.ENSP00000359663
9606.ENSP00000279061
9606.ENSP00000259075
RHCE9606.ENSP00000294413
9606.ENSP00000339577
ITGB29606.ENSP00000347279
EDN19606.ENSP00000368683
9606.ENSP00000249601
UGP29606.ENSP00000338703
GFER9606.ENSP00000248114
ARNTL9606.ENSP00000263762
9606.ENSP00000256172
9606.ENSP00000008527
IL1A9606.ENSP00000263339
VEGF9606.ENSP00000263734
9606.ENSP00000364001
9606.ENSP00000352565
9606.ENSP00000361099
9606.ENSP00000271331
9606.ENSP00000357182
9606.ENSP00000297450
9606.ENSP00000370742
9606.ENSP00000311127
9606.ENSP00000352208
9606.ENSP00000297904
9606.ENSP00000297494
9606.ENSP00000353582
9606.ENSP00000280193
9606.ENSP00000372173
9606.ENSP00000282397
GRAP29606.ENSP00000309521
9606.ENSP00000339186
SACS9606.ENSP00000344322
9606.ENSP00000283201
9606.ENSP00000306627
9606.ENSP00000230124
9606.ENSP00000367064
9606.ENSP00000302851
9606.ENSP00000371735
9606.ENSP00000252951
MUC29606.ENSP00000351956
9606.ENSP00000314500
9606.ENSP00000259056
9606.ENSP00000364150
9606.ENSP00000348668
9606.ENSP00000233685
SGCG9606.ENSP00000218867
CSRP39606.ENSP00000265968
CHUK9606.ENSP00000362887
9606.ENSP00000359424
9606.ENSP00000264777
PPARA9606.ENSP00000356223
9606.ENSP00000262735
9606.ENSP00000219084
9606.ENSP00000349616
9606.ENSP00000252889
9606.ENSP00000350016
GSTZ19606.ENSP00000216465
IL179606.ENSP00000344192
9606.ENSP00000349365
9606.ENSP00000221847
STAT19606.ENSP00000368699
9606.ENSP00000351935
9606.ENSP00000315768
9606.ENSP00000371676
9606.ENSP00000371189
9606.ENSP00000222139
9606.ENSP00000243346
9606.ENSP00000354394
9606.ENSP00000263379
9606.ENSP00000349977
9606.ENSP00000366234
SFRS19606.ENSP00000370114
9606.ENSP00000352254
9606.ENSP00000365457
9606.ENSP00000337679
9606.ENSP00000334538
9606.ENSP00000339450
SHBG9606.ENSP00000250080
ABP19606.ENSP00000258780
9606.ENSP00000373621
ENPP29606.ENSP00000259486
CXCR49606.ENSP00000272928
9606.ENSP00000241393
FSCN29606.ENSP00000334665
PPT19606.ENSP00000361865
PES19606.ENSP00000334612
TPT19606.ENSP00000324208
9606.ENSP00000339051
CAPG9606.ENSP00000263867
9606.ENSP00000371670
FXYD19606.ENSP00000343314
CNDP29606.ENSP00000325548
QPCT9606.ENSP00000344829
GHRH9606.ENSP00000320180
9606.ENSP00000304331
9606.ENSP00000237527
SLPI9606.ENSP00000342082
CREB19606.ENSP00000359164
9606.ENSP00000236996
9606.ENSP00000345001
9606.ENSP00000305873
9606.ENSP00000282356
9606.ENSP00000268184
9606.ENSP00000339179
9606.ENSP00000333055
9606.ENSP00000312741
9606.ENSP00000224073
9606.ENSP00000368124
9606.ENSP00000354861
NAT19606.ENSP00000219833
9606.ENSP00000350133
9606.ENSP00000340281
9606.ENSP00000349002
PKD19606.ENSP00000237596
9606.ENSP00000262304
TRPV19606.ENSP00000371338
9606.ENSP00000174621
9606.ENSP00000342799
ELF49606.ENSP00000268058
9606.ENSP00000311280
TGFB19606.ENSP00000204005
9606.ENSP00000266031
9606.ENSP00000200453
9606.ENSP00000301873
9606.ENSP00000221930
9606.ENSP00000287097
9606.ENSP00000346467
9606.ENSP00000294241
9606.ENSP00000367316
9606.ENSP00000261883
9606.ENSP00000346291
9606.ENSP00000356791
ARCN19606.ENSP00000352385
ARSI9606.ENSP00000333395
CCL279606.ENSP00000259631
HIP29606.ENSP00000373625
9606.ENSP00000356480
9606.ENSP00000259050
CART9606.ENSP00000315417
9606.ENSP00000296777
CDC29606.ENSP00000265801
9606.ENSP00000262266
9606.ENSP00000335357
9606.ENSP00000181839
9606.ENSP00000366390
9606.ENSP00000314946
9606.ENSP00000368664
9606.ENSP00000357907
9606.ENSP00000262031
9606.ENSP00000351298
9606.ENSP00000303706
9606.ENSP00000294904
9606.ENSP00000362917
9606.ENSP00000360944
9606.ENSP00000245960
9606.ENSP00000321656
9606.ENSP00000299613
9606.ENSP00000253339
9606.ENSP00000262300
9606.ENSP00000300647
9606.ENSP00000250707
CDK29606.ENSP00000335357
9606.ENSP00000256925
9606.ENSP00000301488
9606.ENSP00000366390
9606.ENSP00000261692
9606.ENSP00000228872
9606.ENSP00000266970
9606.ENSP00000374532
9606.ENSP00000348486
9606.ENSP00000303706
9606.ENSP00000351298
9606.ENSP00000256443
9606.ENSP00000357748
9606.ENSP00000261245
9606.ENSP00000278865
9606.ENSP00000282412
9606.ENSP00000369447
9606.ENSP00000286878
9606.ENSP00000250707
FASLG9606.ENSP00000360942
9606.ENSP00000356694
TPI19606.ENSP00000371705
HMGB29606.ENSP00000296503
CTGF9606.ENSP00000361959
9606.ENSP00000356954
ACOX19606.ENSP00000301608
MYL49606.ENSP00000347055
FKBP29606.ENSP00000310935
LIPG9606.ENSP00000261292
SOD39606.ENSP00000226877
SOD29606.ENSP00000337127
TRIT19606.ENSP00000321810
HNF4A9606.ENSP00000343807
ARSA9606.ENSP00000349887
9606.ENSP00000373356
9606.ENSP00000348406
IL189606.ENSP00000264497
9606.ENSP00000280357
9606.ENSP00000269280
ERCC89606.ENSP00000265038
ACSL59606.ENSP00000348429
NPPA9606.ENSP00000365663
9606.ENSP00000265074
9606.ENSP00000311452
-1.CID000128898
ASAHL9606.ENSP00000286733
ASNS9606.ENSP00000280700
9606.ENSP00000296255
9606.ENSP00000250498
9606.ENSP00000266579
9606.ENSP00000175506
9606.ENSP00000313164
9606.ENSP00000264595
9606.ENSP00000364188
9606.ENSP00000287706
9606.ENSP00000360643
9606.ENSP00000351568
9606.ENSP00000368767
9606.ENSP00000295770
9606.ENSP00000345904
9606.ENSP00000357451
9606.ENSP00000363452
9606.ENSP00000358465
RRAD9606.ENSP00000299759
AKT39606.ENSP00000348611
9606.ENSP00000263826
9606.ENSP00000216612
CNR29606.ENSP00000363596
9606.ENSP00000289630
AKT19606.ENSP00000307305
9606.ENSP00000354587
9606.ENSP00000371701
9606.ENSP00000342644
9606.ENSP00000354830
9606.ENSP00000348197
9606.ENSP00000355058
9606.ENSP00000262719
9606.ENSP00000347852
9606.ENSP00000368144
9606.ENSP00000247066
9606.ENSP00000304604
9606.ENSP00000300245
9606.ENSP00000341698
9606.ENSP00000270202
9606.ENSP00000348611
9606.ENSP00000362597
9606.ENSP00000357804
9606.ENSP00000216612
9606.ENSP00000349959
AKT29606.ENSP00000355058
9606.ENSP00000309428
9606.ENSP00000348197
9606.ENSP00000216612
CNR19606.ENSP00000358511
9606.ENSP00000263655
9606.ENSP00000349344
KIF229606.ENSP00000160827
HMGCR9606.ENSP00000287936
9606.ENSP00000340010
9606.ENSP00000340310
DFFA9606.ENSP00000373329
9606.ENSP00000366237
9606.ENSP00000339344
9606.ENSP00000258807
TNNC19606.ENSP00000232975
9606.ENSP00000341838
MYO5A9606.ENSP00000301972
9606.ENSP00000264605
9606.ENSP00000350945
RAC19606.ENSP00000349971
9606.ENSP00000278568
9606.ENSP00000264051
