F5	9606.ENSP00000354631
ELN	9606.ENSP00000351807
SP3	9606.ENSP00000310301
ABO	9606.ENSP00000313515
CPD	9606.ENSP00000225719
MCP	9606.ENSP00000313875
PF4	9606.ENSP00000296029
NPY	9606.ENSP00000242152
NES	9606.ENSP00000357206
CD2	
9606.ENSP00000357022
9606.ENSP00000237538
9606.ENSP00000357025
9606.ENSP00000352264
9606.ENSP00000358490
9606.ENSP00000369049
9606.ENSP00000368914
9606.ENSP00000357072
9606.ENSP00000304903
-1.CID000123164
CA1	9606.ENSP00000256119
NTS	9606.ENSP00000256010
CA4	9606.ENSP00000300900
BLM
9606.ENSP00000342583
9606.ENSP00000261714
9606.ENSP00000310356
9606.ENSP00000347232
-1.CID000072466
KDR
9606.ENSP00000364001
9606.ENSP00000370742
9606.ENSP00000352208
9606.ENSP00000357182
AGT
9606.ENSP00000231420
9606.ENSP00000302620
9606.ENSP00000355627
AFP
9606.ENSP00000226359
9606.ENSP00000304004
9606.ENSP00000366319
9606.ENSP00000268489
9606.ENSP00000331131
9606.ENSP00000373103
9606.ENSP00000314709
9606.ENSP00000250448
-1.CID000000718
TXN	9606.ENSP00000363641
MPZ	9606.ENSP00000356955
CD5
9606.ENSP00000342681
9606.ENSP00000357156
9606.ENSP00000259633
-1.CID000002514
PFC	9606.ENSP00000247153
DAF	9606.ENSP00000356030
GSN	9606.ENSP00000362924
SDS
9606.ENSP00000298841
9606.ENSP00000257549
9606.ENSP00000246868
-1.CID000008778
PTS	9606.ENSP00000280362
TSN	9606.ENSP00000374332
HK1
9606.ENSP00000360252
9606.ENSP00000328511
9606.ENSP00000301420
9606.ENSP00000348697
ADA	9606.ENSP00000361965
SP2
9606.ENSP00000339836
9606.ENSP00000365931
-1.CID010847392
MAG
9606.ENSP00000221481
9606.ENSP00000355094
9606.ENSP00000043402
9606.ENSP00000262624
-1.CID000096523
PLG	9606.ENSP00000308938
CPM	9606.ENSP00000339157
APC
9606.ENSP00000372415
9606.ENSP00000366576
9606.ENSP00000353238
9606.ENSP00000353871
9606.ENSP00000216968
9606.ENSP00000302625
9606.ENSP00000352323
9606.ENSP00000316845
9606.ENSP00000364721
9606.ENSP00000257430
9606.ENSP00000300249
9606.ENSP00000205948
9606.ENSP00000373709
9606.ENSP00000229758
9606.ENSP00000354916
9606.ENSP00000368914
9606.ENSP00000308450
9606.ENSP00000352676
-1.CID005327127
LSS	9606.ENSP00000348762
BPI	9606.ENSP00000262865
GSS
9606.ENSP00000368752
9606.ENSP00000216951
RB1
9606.ENSP00000318085
9606.ENSP00000301396
9606.ENSP00000225402
9606.ENSP00000367933
9606.ENSP00000345571
9606.ENSP00000025008
9606.ENSP00000267163
9606.ENSP00000305899
9606.ENSP00000355249
9606.ENSP00000255613
9606.ENSP00000355772
9606.ENSP00000222574
-1.CID016750071
TRH
9606.ENSP00000309818
9606.ENSP00000261180
9606.ENSP00000303452
-1.CID000032281
CIT
9606.ENSP00000286749
9606.ENSP00000261833
9606.ENSP00000353104
-1.CID001427545
RHD
9606.ENSP00000294413
9606.ENSP00000339577
-1.CID000444074
ANG
